distance,count,combine,RPE_CODE,first_point_x,first_point_y,last_point_x,last_point_y
84.0,1,0,L,158515.169,379587.865,158432.518,379575.845
70.0,1,0,L,156492.267,451709.837,156427.666,451736.475
232.0,1,0,L,157740.344,383139.142,157871.538,383178.813
374.0,2,0,R,85834.872,459292.877,85577.895,459025.251
239.0,1,0,R,84699.325,458155.391,84523.564,457994.435
782.0,1,0,R,95877.845,395947.693,95130.938,395716.659
98.0,1,0,R,92077.952,394234.842,92031.975,394148.764
367.0,1,0,R,91024.0,393377.0,90661.58,393382.361
336.0,1,0,L,96627.398,438363.381,96543.054,438688.086
311.0,0,0,R,96597.339,438044.527,96438.242,437796.093
206.0,1,0,R,103037.33,469976.412,102967.813,469782.039
83.0,1,0,L,139476.691,483143.596,139404.863,483101.579
365.0,0,0,R,137742.616,397328.912,137453.254,397121.415
430.0,1,0,L,159100.03,469609.931,158889.236,469234.736
85.0,1,0,R,88449.0,461965.0,88381.687,461913.018
693.0,1,0,R,77310.123,382989.522,76621.62,382912.454
21.0,1,0,R,84869.418,457538.031,84885.11,457524.295
129.0,1,0,L,89552.186,431628.916,89432.609,431676.526
186.0,1,0,L,123936.183,482780.278,123824.442,482825.174
76.0,1,0,L,123439.699,480530.885,123390.944,480588.794
124.0,1,0,L,130851.318,522958.258,130842.837,522834.293
445.0,0,0,R,138509.327,398994.63,138181.553,398696.536
162.0,1,0,L,139099.38,482860.393,138981.889,482749.588
1728.0,1,0,L,181442.939,574772.785,180149.225,575907.202
95.0,1,0,R,182281.743,574728.698,182369.048,574764.692
30.0,1,0,R,38515.891,406485.433,38495.796,406463.825
10.0,2,0,R,38529.074,406493.0,38518.839,406495.171
27.0,1,0,L,38833.985,406560.39,38816.639,406545.653
209.0,1,0,R,86259.39600000001,391489.117,86050.174,391480.536
62.0,1,0,L,75682.50200000001,440793.632,75673.843,440854.813
162.0,0,0,R,104126.062,424188.562,103997.175,424091.536
238.0,1,0,L,104320.638,423517.422,104133.141,423550.689
115.0,1,0,R,104067.64,423365.817,104070.532,423251.724
120.0,1,0,L,110510.444,517703.802,110451.768,517599.242
305.0,1,0,L,110660.0,517970.0,110510.444,517703.802
227.0,1,1,L,111439.139,519526.106,111365.543,519312.795
369.0,1,0,L,139404.863,483101.579,139065.338,483046.049
391.0,1,0,L,141914.839,484837.416,141667.28,484552.13
82.0,2,0,R,150272.173,409104.852,150197.813,409071.696
210.0,1,0,L,151937.456,565379.99,151735.297,565322.73
453.0,1,0,L,158860.0,566968.0,158455.015,567010.374
114.0,1,0,L,161270.684,472886.694,161189.264,472807.826
414.0,1,0,L,191039.538,466152.061,190633.54,466235.292
351.0,1,0,R,87432.75200000001,391848.028,87162.052,391628.413
697.0,2,0,L,110489.249,453112.971,109966.058,452657.183
191.0,2,0,L,113457.841,543643.025,113389.779,543472.607
440.0,1,0,R,119410.756,483590.267,118971.786,483557.601
428.0,1,0,R,115846.224,480913.693,115620.714,481276.822
199.0,2,0,L,118624.907,490884.461,118508.428,490723.335
405.0,1,0,R,119834.0,493703.0,119608.514,494038.938
95.0,1,0,L,128152.496,483157.644,128080.508,483216.9
40.0,1,0,L,148504.215,408115.766,148510.839,408154.816
310.0,1,0,R,148931.0,408659.0,148805.393,408422.043
43.0,1,0,R,163230.969,563605.914,163269.76,563588.378
28.0,1,0,R,190046.084,410363.245,190037.907,410389.716
864.0,1,0,R,195197.978,547639.719,194436.952,548043.087
474.0,1,0,L,33244.337,392285.074,33188.301,392753.125
111.0,1,0,L,33633.104,390628.415,33552.031,390703.198
214.0,1,0,L,75176.0,412533.0,74966.0,412573.0
73.0,1,0,L,66643.276,439045.252,66576.137,439021.538
152.0,1,0,R,97357.872,463476.10000000003,97245.232,463377.379
23.0,1,0,L,114324.0,394334.0,114312.315,394314.626
97.0,0,0,R,115572.954,497553.431,115495.054,497602.663
238.0,1,0,L,132112.061,458086.055,131905.291,458201.001
30.0,1,0,L,130824.383,549084.725,130799.121,549092.522
78.0,1,0,R,149277.913,408561.543,149237.606,408494.96
66.0,0,0,L,152867.992,399033.384,152852.013,399096.637
226.0,0,0,L,156580.75,391072.968,156423.797,391232.948
334.0,1,0,L,156826.0,390846.0,156580.75,391072.968
339.0,0,0,L,158391.178,434766.351,158058.62900000002,434799.993
138.0,1,0,L,158529.2,434769.459,158391.178,434766.351
373.0,0,0,R,185591.313,342486.764,185324.95,342327.541
269.0,1,0,R,185818.282,562466.951,185690.673,562699.438
308.0,1,0,L,192346.066,320828.071,192095.643,320996.829
82.0,1,0,L,192095.643,320996.829,192023.647,321033.965
190.0,0,0,L,194479.715,320668.56,194298.0,320615.0
24.0,2,0,L,31044.949,398046.433,31031.376,398064.42
383.0,1,0,R,98723.528,464892.128,98500.316,464581.49
52.0,1,1,R,107424.106,529518.806,107413.68000000001,529568.862
38.0,1,0,R,107368.39,529817.372,107362.758,529854.335
54.0,2,0,R,107347.48300000001,529947.298,107356.203,529982.194
29.0,1,0,L,107356.203,529982.194,107334.12700000001,529968.042
611.0,1,0,R,129037.989,394500.268,128428.447,394457.721
559.0,1,0,L,146755.0,477056.0,146640.209,476518.519
198.0,1,0,R,152318.0,431638.0,152306.817,431805.011
292.0,1,0,L,180161.0,544889.0,180022.172,544631.753
474.0,2,0,L,184279.552,448545.794,183819.891,448431.995
144.0,1,0,R,83278.926,391303.746,83145.79000000001,391248.681
61.0,1,0,L,85968.239,391451.103,86028.328,391462.557
150.0,0,0,R,83785.854,391418.389,83683.0,391519.0
41.0,1,0,L,90028.472,431504.45,89988.605,431514.08
212.0,1,0,L,93925.0,460486.0,93738.27,460505.5
289.0,0,0,L,104671.939,446649.773,104472.437,446448.042
75.0,1,0,R,113755.351,394197.152,113694.816,394153.556
432.0,2,0,L,128536.956,482978.48,128156.408,483181.443
86.0,1,0,L,153382.879,412739.648,153326.086,412674.54000000004
316.0,0,0,L,153544.53,412861.572,153243.897,412780.308
143.0,1,0,L,154244.999,413193.159,154121.48,413122.284
413.0,1,0,L,155006.509,413515.122,154627.588,413367.168
485.0,1,0,L,158330.62,567042.03,157867.894,567188.933
259.0,1,0,R,179279.0,542927.0,179110.0,542924.938
285.0,0,0,L,179084.265,542966.093,179008.311,543114.424
471.0,1,0,L,169359.616,370495.856,169070.672,370867.571
460.0,1,0,L,173492.353,422298.036,173121.203,422025.474
269.0,1,0,R,81078.415,446756.242,81161.0,446501.0
38.0,1,0,R,92983.663,468612.494,92951.091,468592.108
