type	starttime_new	endtime_new	vild_primair_wegnummer	primaire_locatie_lengtegraad	primaire_locatie_breedtegraad	duration
vehicle_obstruction	1-10-2019 07:52	1-10-2019 08:18	A58	4.984505177	51.54206085	25.73333333
vehicle_obstruction	1-10-2019 07:53	1-10-2019 08:28	A59	5.502545	51.73603	35.68333333
vehicle_obstruction	1-10-2019 07:53	1-10-2019 07:54	A2	5.153098106	51.938591	1.016666667
vehicle_obstruction	1-10-2019 07:53	1-10-2019 07:56	A16	4.650380135	51.7805481	3.283333333
accident	1-10-2019 07:54	1-10-2019 08:53	A12	5.070082188	52.06552887	59.66666667
vehicle_obstruction	1-10-2019 07:54	1-10-2019 08:32	A16	4.641317844	51.7101593	38.25
vehicle_obstruction	1-10-2019 07:54	1-10-2019 07:55	A1	5.535459995	52.16294861	0.6
vehicle_obstruction	1-10-2019 07:56	1-10-2019 08:22	A27	5.15267086	52.07268906	25.83333333
vehicle_obstruction	1-10-2019 07:56	1-10-2019 08:56	A9	4.756248951	52.34004974	59.91666667
vehicle_obstruction	1-10-2019 07:57	1-10-2019 08:02	A4	4.493423	52.1305	5.516666667
vehicle_obstruction	1-10-2019 07:57	1-10-2019 08:05	A12	5.145572	52.06308	7.516666667
vehicle_obstruction	1-10-2019 07:57	1-10-2019 08:17	A27	5.120767	52.01384	20.1
vehicle_obstruction	1-10-2019 07:57	1-10-2019 08:06	A22	4.655457	52.45875	9.083333333
vehicle_obstruction	1-10-2019 07:57	1-10-2019 07:58	A7	6.309187889	53.16648102	1.033333333
accident	1-10-2019 07:58	1-10-2019 08:31	A1	5.209741222	52.25509434	32.88333333
vehicle_obstruction	1-10-2019 07:58	1-10-2019 08:21	A50	5.572684765	51.72636032	22.96666667
accident	1-10-2019 07:58	1-10-2019 09:17	A7	6.276041031	53.15570068	79.06666667
vehicle_obstruction	1-10-2019 07:59	1-10-2019 08:30	A16	4.572764874	51.87295914	31.13333333
accident	1-10-2019 07:59	1-10-2019 09:11	N284	5.244474888	51.37213135	71.55
vehicle_obstruction	1-10-2019 08:01	1-10-2019 08:31	A50	5.764738083	51.98268127	29.75
vehicle_obstruction	1-10-2019 08:01	1-10-2019 08:25	A4	4.490509987	52.12939835	23.7
vehicle_obstruction	1-10-2019 08:02	1-10-2019 08:33	A4	4.335309982	51.9768219	30.76666667
vehicle_obstruction	1-10-2019 08:04	1-10-2019 08:46	A50	5.943046093	52.06427002	42.46666667
accident	1-10-2019 08:04	1-10-2019 08:41	A4	4.352036953	52.0447197	36.6
vehicle_obstruction	1-10-2019 08:05	1-10-2019 08:07	A50	5.769740105	51.92879868	2.7
vehicle_obstruction	1-10-2019 08:05	1-10-2019 08:11	A58	4.947229862	51.55197144	6.116666667
accident	1-10-2019 08:05	1-10-2019 08:08	A12	5.171882153	52.06203842	2.833333333
vehicle_obstruction	1-10-2019 08:05	1-10-2019 08:11	A4	4.413985	52.08451	5.5
vehicle_obstruction	1-10-2019 08:05	1-10-2019 08:06	A4	4.347918034	52.04227066	0.6
vehicle_obstruction	1-10-2019 08:06	1-10-2019 08:07	N228	5.030312061	52.0723114	0.983333333
vehicle_obstruction	1-10-2019 08:06	1-10-2019 09:06	A2	5.427458	51.44596	59.7
vehicle_obstruction	1-10-2019 08:06	1-10-2019 08:24	A22	4.65694809	52.4548912	17.55
vehicle_obstruction	1-10-2019 08:07	1-10-2019 09:12	A6	5.39705	52.42062	65.56666667
vehicle_obstruction	1-10-2019 08:07	1-10-2019 08:41	A4	4.491490841	52.13008118	34.2
vehicle_obstruction	1-10-2019 08:08	1-10-2019 09:23	A2	5.341749191	51.59619904	75.61666667
vehicle_obstruction	1-10-2019 08:08	1-10-2019 09:21	A6	5.753232956	52.79405975	73.13333333
accident	1-10-2019 08:08	1-10-2019 08:42	A4	4.417235851	52.08626175	33.51666667
vehicle_obstruction	1-10-2019 08:09	1-10-2019 08:20	N470	4.33564	51.98501	11.03333333
vehicle_obstruction	1-10-2019 08:09	1-10-2019 09:25	A2	5.413239002	51.4560318	75.66666667
vehicle_obstruction	1-10-2019 08:11	1-10-2019 09:14	A13	4.368476868	52.0553894	63.01666667
accident	1-10-2019 08:12	1-10-2019 09:27	A32	5.927780151	52.96895981	75.2
accident	1-10-2019 08:12	1-10-2019 09:11	A58	3.815663099	51.48323822	58.43333333
vehicle_obstruction	1-10-2019 08:12	1-10-2019 08:23	A50	5.943145	52.06408	11.23333333
accident	1-10-2019 08:13	1-10-2019 09:26	A2	5.68905592	51.28107834	73.35
vehicle_obstruction	1-10-2019 08:13	1-10-2019 08:19	A50	5.7636199	51.98118973	5.45
vehicle_obstruction	1-10-2019 08:14	1-10-2019 08:22	A2	5.069527149	52.06567001	8.416666667
vehicle_obstruction	1-10-2019 08:14	1-10-2019 08:22	A32	5.917475	52.97657	8.516666667
vehicle_obstruction	1-10-2019 08:14	1-10-2019 08:48	A28	6.586285114	53.04190826	34.48333333
vehicle_obstruction	1-10-2019 08:14	1-10-2019 08:21	A2	5.312868	51.63036	6.6
vehicle_obstruction	1-10-2019 08:15	1-10-2019 08:17	A28	6.447017193	52.78546143	1.416666667
vehicle_obstruction	1-10-2019 08:16	1-10-2019 08:26	A4	4.556168	52.16291	10
accident	1-10-2019 08:17	1-10-2019 09:32	A4	4.523760796	52.14775848	75.7
accident	1-10-2019 08:17	1-10-2019 08:45	A35	6.753390789	52.25429916	28.06666667
accident	1-10-2019 08:18	1-10-2019 08:24	A15	4.68172884	51.84883118	6.766666667
vehicle_obstruction	1-10-2019 08:18	1-10-2019 08:23	A27	4.92782	51.78114	5.55
accident	1-10-2019 08:18	1-10-2019 09:29	A2	5.718269825	50.8336792	70.46666667
accident	1-10-2019 08:18	1-10-2019 08:53	A8	4.876244068	52.42322922	34.8
vehicle_obstruction	1-10-2019 08:18	1-10-2019 10:04	A9	4.70674181	52.38633728	105.9833333
vehicle_obstruction	1-10-2019 08:19	1-10-2019 09:34	A28	6.607532978	53.14302826	75.21666667
accident	1-10-2019 08:19	1-10-2019 09:35	A58	3.805672884	51.48429871	75.86666667
vehicle_obstruction	1-10-2019 08:20	1-10-2019 08:23	N2	5.717147	50.84019	3.566666667
vehicle_obstruction	1-10-2019 08:21	1-10-2019 08:50	A58	3.810747	51.48349	29.5
vehicle_obstruction	1-10-2019 08:21	1-10-2019 09:04	A2	5.308103	51.64606	42.53333333
vehicle_obstruction	1-10-2019 08:22	1-10-2019 08:26	A27	4.889946938	51.715271	4.6
vehicle_obstruction	1-10-2019 08:22	1-10-2019 08:52	A58	4.846968174	51.55556107	30.56666667
accident	1-10-2019 08:22	1-10-2019 09:30	A27	4.881393909	51.67967987	68.7
vehicle_obstruction	1-10-2019 08:23	1-10-2019 08:40	A28	6.46322	52.74224	17.56666667
vehicle_obstruction	1-10-2019 08:23	1-10-2019 08:23	A27	4.931479931	51.80017853	0.5
vehicle_obstruction	1-10-2019 08:23	1-10-2019 09:16	A12	5.116336823	52.05773163	53.01666667
accident	1-10-2019 08:24	1-10-2019 09:29	N201	5.120616913	52.2195282	65.8
accident	1-10-2019 08:24	1-10-2019 09:20	A59	5.502274036	51.73593903	55.71666667
vehicle_obstruction	1-10-2019 08:24	1-10-2019 08:27	A58	4.863372	51.55751	3.066666667
vehicle_obstruction	1-10-2019 08:25	1-10-2019 09:41	A12	5.025456905	52.0736618	76.15
vehicle_obstruction	1-10-2019 08:25	1-10-2019 08:56	A9	4.698513031	52.49497986	30.83333333
vehicle_obstruction	1-10-2019 08:26	1-10-2019 09:06	A10	4.867473125	52.41728973	40.18333333
accident	1-10-2019 08:26	1-10-2019 09:53	A2	5.328269959	51.72187042	87.26666667
vehicle_obstruction	1-10-2019 08:26	1-10-2019 09:04	A15	4.842607021	51.82405853	38.05
accident	1-10-2019 08:27	1-10-2019 08:36	A1	5.751982212	52.19652939	9.1
vehicle_obstruction	1-10-2019 08:27	1-10-2019 08:35	A1	6.843787	52.27848	8.083333333
vehicle_obstruction	1-10-2019 08:28	1-10-2019 08:54	A4	4.759297848	52.32115173	26.41666667
vehicle_obstruction	1-10-2019 08:28	1-10-2019 09:06	A13	4.421969891	51.94549942	38.31666667
accident	1-10-2019 08:28	1-10-2019 09:18	A27	4.94464016	51.83296967	50.25
accident	1-10-2019 08:28	1-10-2019 09:43	A2	5.309091091	51.64419937	75.18333333
